                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     96,                0.90967,                0.93569,                 1.1585,                0.54862,                 0.5668,                0.54011,                0.27589,                 1.5941,                 2.0548,                 1.7234,              0.0095347,              0.0095347,              0.0095347
                     97,                0.91234,                0.96708,                 1.1496,                0.47805,                0.42209,                 0.3893,                0.21636,                 1.7628,                 2.4128,                 1.8654,              0.0095298,              0.0095298,              0.0095298
                     98,                0.92294,                0.95293,                 1.1633,                0.45255,                0.44944,                0.40231,                0.22671,                 1.6822,                 2.2175,                 1.8099,              0.0095248,              0.0095248,              0.0095248
                     99,                0.94148,                0.98024,                 1.1761,                0.75398,                 0.4241,                 0.4649,                0.26222,                 1.6435,                 2.0968,                 1.8026,              0.0095198,              0.0095198,              0.0095198
                    100,                0.94085,                0.98902,                 1.1705,                0.56642,                0.57296,                0.54103,                0.29926,                 1.6192,                 1.9241,                 1.7941,              0.0095149,              0.0095149,              0.0095149
                    101,                0.91845,                0.97315,                 1.1599,                0.66139,                0.51955,                0.50532,                0.26388,                  1.676,                 2.2157,                 1.7956,                0.00951,                0.00951,                0.00951
                    102,                0.90164,                0.92978,                 1.1323,                0.53655,                0.57119,                0.53093,                0.28543,                 1.6317,                 2.0806,                 1.7233,               0.009505,               0.009505,               0.009505
                    103,                0.92212,                 0.9363,                 1.1547,                0.46604,                0.61318,                0.56093,                0.30025,                 1.5757,                 1.8304,                 1.7588,                 0.0095,                 0.0095,                 0.0095
                    104,                0.87616,                0.92761,                 1.1205,                0.61095,                0.56507,                0.50293,                0.26214,                 1.6476,                  1.711,                 1.7622,              0.0094951,              0.0094951,              0.0094951
                    105,                0.89628,                0.93725,                 1.1429,                0.67582,                0.60728,                0.56832,                0.29289,                 1.5928,                 1.7642,                 1.7035,              0.0094902,              0.0094902,              0.0094902
                    106,                0.91361,                0.94615,                 1.1574,                0.60308,                0.57877,                0.49197,                0.26516,                 1.6993,                 1.9448,                  1.783,              0.0094852,              0.0094852,              0.0094852
                    107,                0.86972,                0.91721,                 1.1156,                0.57342,                0.51976,                0.47546,                0.25444,                 1.6375,                 1.9467,                 1.7057,              0.0094803,              0.0094803,              0.0094803
                    108,                0.89333,                0.91654,                 1.1335,                0.64882,                0.51773,                0.50694,                0.26747,                 1.6023,                 1.8347,                 1.7313,              0.0094753,              0.0094753,              0.0094753
                    109,                0.90147,                0.91693,                 1.1436,                0.61524,                0.51235,                0.50072,                0.25342,                 1.6925,                 2.0087,                 1.8769,              0.0094704,              0.0094704,              0.0094704
                    110,                0.87545,                0.88257,                 1.1281,                0.78211,                0.50215,                0.49434,                0.23432,                 1.7011,                 2.1077,                 1.8917,              0.0094654,              0.0094654,              0.0094654
                    111,                0.87469,                0.91693,                 1.1132,                0.74006,                0.36598,                0.41131,                0.25454,                  1.701,                 2.0177,                 1.8745,              0.0094605,              0.0094605,              0.0094605
                    112,                0.85918,                0.88206,                 1.1189,                0.66936,                0.46679,                0.46709,                0.23568,                 1.7307,                 2.0931,                 1.8885,              0.0094555,              0.0094555,              0.0094555
                    113,                0.88549,                0.90244,                 1.1339,                0.64598,                0.51218,                0.50096,                0.23299,                 1.8243,                 2.1989,                 1.9733,              0.0094506,              0.0094506,              0.0094506
                    114,                0.85545,                0.87755,                 1.1195,                0.43678,                0.49787,                0.48068,                0.24267,                 1.7612,                 2.0638,                 1.8988,              0.0094456,              0.0094456,              0.0094456
                    115,                 0.8637,                0.88849,                 1.1301,                0.40293,                0.54275,                0.47071,                0.24679,                 1.7215,                 2.1305,                 1.8997,              0.0094407,              0.0094407,              0.0094407
                    116,                 0.8568,                0.89538,                 1.1174,                0.51339,                0.53301,                0.49157,                0.26722,                 1.7171,                 2.1597,                 1.8205,              0.0094357,              0.0094357,              0.0094357
                    117,                0.86375,                0.86566,                 1.1094,                0.47273,                 0.5402,                0.47263,                0.24189,                 1.7053,                 2.1718,                  1.802,              0.0094307,              0.0094307,              0.0094307
                    118,                  0.867,                0.90789,                 1.1269,                0.52037,                0.57143,                0.50433,                0.25157,                 1.5928,                 1.9374,                 1.7453,              0.0094258,              0.0094258,              0.0094258
                    119,                0.87152,                0.90015,                 1.1524,                0.75674,                0.48882,                0.55044,                0.27625,                 1.5708,                 1.8125,                 1.7471,              0.0094208,              0.0094208,              0.0094208
                    120,                0.85008,                0.86259,                 1.1082,                0.42977,                0.57752,                0.42599,                0.22931,                 1.5201,                 1.7566,                 1.7174,              0.0094159,              0.0094159,              0.0094159
                    121,                0.88945,                0.90211,                 1.1501,                0.56747,                0.56594,                0.48881,                0.27289,                 1.5174,                 1.7346,                 1.7394,              0.0094109,              0.0094109,              0.0094109
                    122,                 0.8175,                0.86156,                 1.1101,                0.70859,                0.56611,                0.54367,                0.29068,                 1.5174,                 1.7058,                 1.7545,               0.009406,               0.009406,               0.009406
                    123,                0.85463,                0.85226,                 1.1129,                0.57711,                0.50162,                0.52884,                0.30283,                 1.5367,                 1.8665,                 1.8066,               0.009401,               0.009401,               0.009401
                    124,                0.88109,                0.86127,                 1.1275,                0.60604,                0.44667,                0.50706,                 0.2837,                 1.5959,                 1.9486,                 1.8543,              0.0093961,              0.0093961,              0.0093961
                    125,                0.83213,                0.84076,                 1.1017,                0.54806,                0.50714,                0.46096,                 0.2614,                 1.6484,                  2.027,                  1.839,              0.0093912,              0.0093912,              0.0093912
                    126,                0.83991,                0.84735,                  1.109,                0.58103,                0.59584,                0.51864,                0.29276,                 1.5503,                 1.9281,                 1.6777,              0.0093862,              0.0093862,              0.0093862
                    127,                0.83664,                0.85091,                 1.0922,                0.69597,                0.60517,                0.54334,                0.30608,                  1.566,                 1.8946,                 1.6833,              0.0093813,              0.0093813,              0.0093813
                    128,                0.83949,                0.83826,                 1.1009,                0.61267,                 0.4842,                0.50848,                0.26941,                 1.6577,                 2.0243,                  1.787,              0.0093763,              0.0093763,              0.0093763
                    129,                0.83156,                0.83483,                 1.1101,                0.68516,                0.59676,                0.52038,                0.26828,                 1.6153,                 1.9746,                  1.802,              0.0093714,              0.0093714,              0.0093714
                    130,                0.80193,                0.82434,                 1.0864,                0.66682,                0.54243,                0.50018,                 0.2865,                 1.4829,                 1.9222,                 1.6823,              0.0093664,              0.0093664,              0.0093664
                    131,                0.82894,                0.80703,                 1.0974,                0.56263,                0.56911,                0.47314,                0.26182,                 1.5489,                 1.8663,                 1.7351,              0.0093615,              0.0093615,              0.0093615
                    132,                0.82928,                0.81625,                 1.1096,                0.53756,                 0.5775,                 0.5246,                0.28092,                  1.517,                 1.7778,                 1.6747,              0.0093565,              0.0093565,              0.0093565
                    133,                0.82037,                0.79868,                 1.0893,                0.50903,                0.52484,                0.50882,                0.26849,                 1.5889,                 1.8764,                 1.7307,              0.0093516,              0.0093516,              0.0093516
                    134,                0.81504,                0.79724,                  1.105,                 0.6545,                0.52538,                0.53946,                0.29865,                 1.5686,                 1.8346,                 1.7654,              0.0093466,              0.0093466,              0.0093466
                    135,                 0.8062,                0.81345,                 1.1134,                0.76397,                0.50229,                0.56704,                0.29357,                 1.4748,                 1.8145,                 1.7085,              0.0093416,              0.0093416,              0.0093416
                    136,                0.79896,                0.79978,                 1.0924,                0.60848,                 0.5092,                0.48713,                0.26346,                 1.6035,                  1.957,                 1.7212,              0.0093367,              0.0093367,              0.0093367
                    137,                0.79487,                0.79221,                 1.0874,                0.70384,                0.50551,                0.54063,                0.28197,                 1.6316,                 1.8956,                 1.7456,              0.0093317,              0.0093317,              0.0093317
                    138,                0.81361,                0.80832,                 1.0821,                0.46961,                0.56199,                0.51947,                0.26089,                 1.7253,                 1.9255,                  1.802,              0.0093268,              0.0093268,              0.0093268
                    139,                0.76321,                0.74875,                 1.0555,                0.49231,                0.58604,                0.53085,                0.31044,                 1.5852,                 1.8704,                 1.7402,              0.0093219,              0.0093219,              0.0093219
                    140,                0.77938,                0.79201,                 1.0777,                 0.4625,                0.58945,                0.57378,                0.32045,                 1.5391,                 1.7915,                 1.7486,              0.0093169,              0.0093169,              0.0093169
                    141,                0.80954,                0.79437,                 1.0948,                0.64749,                0.35655,                0.42112,                0.25863,                 1.5359,                 2.0249,                 1.7546,              0.0093119,              0.0093119,              0.0093119
                    142,                 0.7883,                0.78786,                 1.0803,                0.38914,                0.51275,                0.48907,                0.27419,                 1.5073,                 1.9368,                 1.7026,               0.009307,               0.009307,               0.009307
                    143,                0.80015,                0.77693,                 1.0751,                0.71832,                0.37412,                0.43365,                 0.2137,                 1.5509,                  2.104,                 1.7314,               0.009302,               0.009302,               0.009302
                    144,                0.80081,                0.78059,                 1.1044,                0.38658,                0.53129,                0.48805,                0.26169,                 1.5418,                 1.9564,                 1.7113,              0.0092971,              0.0092971,              0.0092971
                    145,                0.79497,                0.78347,                  1.079,                0.44013,                0.51745,                0.52239,                 0.3076,                  1.569,                 2.0214,                 1.7633,              0.0092922,              0.0092922,              0.0092922
                    146,                0.79806,                0.79229,                 1.0693,                0.46664,                0.62167,                0.56062,                0.30867,                 1.4918,                 1.8187,                  1.662,              0.0092872,              0.0092872,              0.0092872
                    147,                0.78033,                0.75037,                 1.0642,                 0.5126,                0.56763,                0.54488,                0.29476,                 1.5242,                 1.8183,                 1.6704,              0.0092823,              0.0092823,              0.0092823
                    148,                0.76847,                0.74929,                 1.0618,                0.60434,                0.44697,                0.51911,                0.27429,                 1.5108,                 1.8582,                 1.6745,              0.0092773,              0.0092773,              0.0092773
